sede,cedula,nombre,lastname,course,nota,estado,puntos obtenidos,puntos totales
LIMON,45-544-6148,Dorella,Betje,Clemmey,9,APPROVED,40,50
COTO,45-544-6148,Dorella,Betje,Farloe,6,FAILED,36,50
PZ,54-312-6373,Annora,Hars,Bernardelli,5,FAILED,31,50
HEREDIA,54-312-6373,Annora,Hars,Hacaud,5,FAILED,29,50
LIMON,54-312-6373,Annora,Hars,Daymont,5,FAILED,26,50
COTO,54-312-6373,Annora,Hars,Arington,10,APPROVED,22,50
PZ,54-312-6373,Annora,Hars,Fealey,4,FAILED,30,50
HEREDIA,54-312-6373,Annora,Hars,Portress,5,FAILED,20,50
LIMON,54-312-6373,Annora,Hars,Fairpool,8,APPROVED,37,50
COTO,54-312-6373,Annora,Hars,Seadon,10,APPROVED,44,50
PZ,54-312-6373,Annora,Hars,Dingley,9,APPROVED,3,50
HEREDIA,54-312-6373,Annora,Hars,Kleis,8,APPROVED,46,50
LIMON,54-312-6373,Annora,Hars,Clemmensen,4,FAILED,20,50
COTO,54-312-6373,Annora,Hars,Llorente,9,APPROVED,12,50
PZ,54-312-6373,Annora,Hars,Dabbes,3,FAILED,44,50
HEREDIA,43-711-9984,Mayer,Sinott,Bernardelli,8,APPROVED,34,50
LIMON,43-711-9984,Mayer,Sinott,Hacaud,7,APPROVED,11,50
COTO,43-711-9984,Mayer,Sinott,Daymont,9,APPROVED,44,50
PZ,43-711-9984,Mayer,Sinott,Arington,5,FAILED,45,50
HEREDIA,43-711-9984,Mayer,Sinott,Fealey,5,FAILED,2,50
LIMON,43-711-9984,Mayer,Sinott,Portress,3,FAILED,33,50
COTO,43-711-9984,Mayer,Sinott,Fairpool,4,FAILED,19,50
PZ,43-711-9984,Mayer,Sinott,Seadon,4,FAILED,48,50
HEREDIA,43-711-9984,Mayer,Sinott,Dingley,9,APPROVED,45,50
LIMON,43-711-9984,Mayer,Sinott,Kleis,8,APPROVED,33,50
COTO,43-711-9984,Mayer,Sinott,Clemmensen,4,FAILED,47,50
PZ,43-711-9984,Mayer,Sinott,Llorente,6,FAILED,36,50
HEREDIA,43-711-9984,Mayer,Sinott,Dabbes,10,APPROVED,21,50
LIMON,43-711-9984,Mayer,Sinott,Gretton,4,FAILED,31,50
COTO,66-370-9474,Bamby,Barthelme,Bernardelli,4,FAILED,45,50
PZ,66-370-9474,Bamby,Barthelme,Hacaud,8,APPROVED,29,50
HEREDIA,66-370-9474,Bamby,Barthelme,Daymont,8,APPROVED,44,50
LIMON,66-370-9474,Bamby,Barthelme,Arington,6,FAILED,47,50
COTO,66-370-9474,Bamby,Barthelme,Fealey,6,FAILED,44,50
PZ,66-370-9474,Bamby,Barthelme,Portress,9,APPROVED,25,50
HEREDIA,66-370-9474,Bamby,Barthelme,Fairpool,9,APPROVED,42,50
LIMON,66-370-9474,Bamby,Barthelme,Seadon,4,FAILED,24,50
COTO,66-370-9474,Bamby,Barthelme,Dingley,6,FAILED,27,50
PZ,66-370-9474,Bamby,Barthelme,Kleis,6,FAILED,48,50
HEREDIA,66-370-9474,Bamby,Barthelme,Clemmensen,5,FAILED,21,50
LIMON,66-370-9474,Bamby,Barthelme,Llorente,8,APPROVED,17,50
COTO,66-370-9474,Bamby,Barthelme,Dabbes,5,FAILED,6,50
PZ,66-370-9474,Bamby,Barthelme,Della Scala,5,FAILED,32,50
HEREDIA,66-370-9474,Bamby,Barthelme,Trundell,4,FAILED,37,50
LIMON,66-370-9474,Bamby,Barthelme,Buist,4,FAILED,41,50
COTO,66-370-9474,Bamby,Barthelme,Jurasz,7,APPROVED,46,50
PZ,66-370-9474,Bamby,Barthelme,Clemits,10,APPROVED,1,50
HEREDIA,40-470-0450,Babb,Blowing,Bernardelli,10,APPROVED,46,50
LIMON,40-470-0450,Babb,Blowing,Hacaud,3,FAILED,21,50
COTO,40-470-0450,Babb,Blowing,Daymont,7,APPROVED,5,50
PZ,40-470-0450,Babb,Blowing,Arington,7,APPROVED,45,50
HEREDIA,40-470-0450,Babb,Blowing,Fealey,4,FAILED,40,50
LIMON,40-470-0450,Babb,Blowing,Portress,6,FAILED,26,50
COTO,40-470-0450,Babb,Blowing,Fairpool,6,FAILED,13,50
PZ,40-470-0450,Babb,Blowing,Seadon,4,FAILED,9,50
HEREDIA,40-470-0450,Babb,Blowing,Dingley,10,APPROVED,32,50
LIMON,40-470-0450,Babb,Blowing,Kleis,10,APPROVED,3,50
COTO,40-470-0450,Babb,Blowing,Clemmensen,5,FAILED,45,50
PZ,40-470-0450,Babb,Blowing,Llorente,5,FAILED,35,50
HEREDIA,40-470-0450,Babb,Blowing,Dabbes,8,APPROVED,26,50
LIMON,40-470-0450,Babb,Blowing,Kitman,8,APPROVED,48,50
COTO,40-470-0450,Babb,Blowing,Lesly,4,FAILED,20,50
PZ,40-470-0450,Babb,Blowing,Crockley,4,FAILED,32,50
HEREDIA,40-470-0450,Babb,Blowing,Hazael,7,FAILED,6,50
LIMON,40-470-0450,Babb,Blowing,Murfill,7,APPROVED,19,50
COTO,40-470-0450,Babb,Blowing,Asey,9,APPROVED,17,50
PZ,86-606-0859,Elsie,Mulford,Bernardelli,6,FAILED,13,50
HEREDIA,86-606-0859,Elsie,Mulford,Hacaud,9,APPROVED,49,50
LIMON,86-606-0859,Elsie,Mulford,Daymont,6,FAILED,45,50
COTO,86-606-0859,Elsie,Mulford,Arington,10,APPROVED,9,50
PZ,86-606-0859,Elsie,Mulford,Fealey,8,APPROVED,45,50
HEREDIA,86-606-0859,Elsie,Mulford,Portress,9,APPROVED,31,50
LIMON,86-606-0859,Elsie,Mulford,Fairpool,5,FAILED,25,50
COTO,86-606-0859,Elsie,Mulford,Seadon,10,APPROVED,34,50
PZ,86-606-0859,Elsie,Mulford,Dingley,4,FAILED,14,50
HEREDIA,86-606-0859,Elsie,Mulford,Kleis,8,APPROVED,8,50
LIMON,86-606-0859,Elsie,Mulford,Clemmensen,5,FAILED,10,50
COTO,86-606-0859,Elsie,Mulford,Llorente,4,FAILED,3,50
PZ,86-606-0859,Elsie,Mulford,Dabbes,7,APPROVED,20,50
HEREDIA,86-606-0859,Elsie,Mulford,Larive,7,FAILED,30,50
LIMON,85-404-0151,Christyna,Cheek,Bernardelli,8,APPROVED,3,50
COTO,85-404-0151,Christyna,Cheek,Hacaud,6,FAILED,7,50
PZ,85-404-0151,Christyna,Cheek,Daymont,9,APPROVED,15,50
HEREDIA,85-404-0151,Christyna,Cheek,Arington,3,FAILED,48,50
LIMON,85-404-0151,Christyna,Cheek,Fealey,4,FAILED,14,50
COTO,85-404-0151,Christyna,Cheek,Portress,8,APPROVED,37,50
PZ,85-404-0151,Christyna,Cheek,Fairpool,7,APPROVED,27,50
HEREDIA,85-404-0151,Christyna,Cheek,Seadon,4,FAILED,21,50
LIMON,85-404-0151,Christyna,Cheek,Dingley,8,APPROVED,0,50
COTO,85-404-0151,Christyna,Cheek,Kleis,4,FAILED,50,50
PZ,85-404-0151,Christyna,Cheek,Clemmensen,9,APPROVED,15,50
HEREDIA,85-404-0151,Christyna,Cheek,Llorente,5,FAILED,15,50
LIMON,85-404-0151,Christyna,Cheek,Dabbes,7,FAILED,45,50
COTO,85-404-0151,Christyna,Cheek,Tregunnah,6,FAILED,11,50
PZ,85-404-0151,Christyna,Cheek,Chestle,5,FAILED,45,50
HEREDIA,85-404-0151,Christyna,Cheek,Fullicks,10,APPROVED,24,50
LIMON,85-404-0151,Christyna,Cheek,Mortell,9,APPROVED,6,50
COTO,37-074-3712,Melli,Syms,Bernardelli,10,APPROVED,24,50
